admin4_code,year,income_total,income_transfert,income_own,own_prop,own_pct,own_income_change,own_income_change_pct,own_prop_change,own_prop_change_pct
02530000000,2021,41933070.24,22624403.85,19308666.39,0.46,46.0%,NA,NA,NA,NA
02530000000,2022,42776990.1,24310347,18466643.1,0.43,43.0%,-0.04,-4%,-0.030000000000000027,-3%
02531000000,2021,26839996.34,11748600,15091396.34,0.56,56.0%,NA,NA,NA,NA
02531000000,2022,40929646.28,11982861.72,28946784.560000002,0.71,71.0%,0.92,92%,0.1499999999999999,15%
02533000000,2021,84179357.63,42646943.43,41532414.199999996,0.49,49.0%,NA,NA,NA,NA
02533000000,2022,77227526.72,28034677.8,49192848.92,0.64,64.0%,0.18,18%,0.15000000000000002,15%
02535000000,2021,94005762.4,39544404.61,54461357.79000001,0.58,58.0%,NA,NA,NA,NA
02535000000,2022,96592722.29,32383644.85,64209077.440000005,0.66,66.0%,0.18,18%,0.08000000000000007,8%
02536000000,2021,1952592695.45,372456142.77,1580136552.68,0.81,81.0%,NA,NA,NA,NA
02536000000,2022,2293558721.61,402559972.25,1890998749.3600001,0.82,82.0%,0.2,20%,0.009999999999999898,1%
02537000000,2021,153785133.14,62714422.28,91070710.85999998,0.59,59.0%,NA,NA,NA,NA
02537000000,2022,174898712.7,64124368.41,110774344.28999999,0.63,63.0%,0.22,22%,0.040000000000000036,4%
02538000000,2021,86114661.87,34053703.29,52060958.580000006,0.6,60.0%,NA,NA,NA,NA
02538000000,2022,54841726.15,25335943.96,29505782.189999998,0.54,54.0%,-0.43,-43%,-0.05999999999999994,-6%
02540000000,2021,33517812.71,14776611,18741201.71,0.56,56.0%,NA,NA,NA,NA
02540000000,2022,21000237.3,10824529.09,10175708.21,0.48,48.0%,-0.46,-46%,-0.08000000000000007,-8%
02541000000,2021,87606370.74,42774579,44831791.739999995,0.51,51.0%,NA,NA,NA,NA
02541000000,2022,81278895.89,36120040.07,45158855.82,0.56,56.0%,0.01,1%,0.050000000000000044,5%
02542000000,2021,197318001.96,61752126.67,135565875.29000002,0.69,69.0%,NA,NA,NA,NA
02542000000,2022,208214177.13,63744823.93,144469353.2,0.69,69.0%,0.07,7%,0,0%
02543000000,2021,21637794.12,14551421,7086373.120000001,0.33,33.0%,NA,NA,NA,NA
02543000000,2022,17892007.6,11670029.81,6221977.790000001,0.35,35.0%,-0.12,-12%,0.019999999999999962,2%
02546000000,2021,28584860.39,13393727,15191133.39,0.53,53.0%,NA,NA,NA,NA
02546000000,2022,26255696.27,14189671.06,12066025.209999999,0.46,46.0%,-0.21,-21%,-0.07,-7%
02547000000,2021,34270961.53,14845524,19425437.53,0.57,57.0%,NA,NA,NA,NA
02547000000,2022,33467492.07,15043042,18424450.07,0.55,55.0%,-0.05,-5%,-0.019999999999999907,-2%
02548000000,2021,143708831.92,70532066.35,73176765.57,0.51,51.0%,NA,NA,NA,NA
02548000000,2022,138345174.49,73213103.49,65132071.000000015,0.47,47.0%,-0.11,-11%,-0.040000000000000036,-4%
02549000000,2021,41667581.6,22582934,19084647.6,0.46,46.0%,NA,NA,NA,NA
02549000000,2022,37414323.15,21797229.63,15617093.52,0.42,42.0%,-0.18,-18%,-0.040000000000000036,-4%
02550000000,2021,162691773.10999998,61701755.72,100990017.38999999,0.62,62.0%,NA,NA,NA,NA
02550000000,2022,421464677.44,59550600,361914077.44,0.86,86.0%,2.58,258%,0.24,24%
02551000000,2021,32160294.59,14802725,17357569.59,0.54,54.0%,NA,NA,NA,NA
02551000000,2022,38702155.67,17260030.51,21442125.16,0.55,55.0%,0.24,24%,0.010000000000000009,1%
02552000000,2021,35383456.11,25122210,10261246.11,0.29,29.0%,NA,NA,NA,NA
02552000000,2022,34946985.58,25333718.95,9613266.629999999,0.28,28.0%,-0.06,-6%,-0.009999999999999953,-1%
02553000000,2021,150259733.25,51493467,98766266.25,0.66,66.0%,NA,NA,NA,NA
02553000000,2022,162828766.67,44616839.68,118211926.98999998,0.73,73.0%,0.2,20%,0.06999999999999995,7%
02554000000,2021,26116206.87,18236813,7879393.870000001,0.3,30.0%,NA,NA,NA,NA
