date,rada_code,hromada_code
2015-08-16,7422082100,UA74100170000043593
2015-08-16,7422083300,UA74100170000043593
2015-08-16,7422086300,UA74100170000043593
2015-08-16,7422086800,UA74100170000043593
2015-08-16,7422088400,UA74100170000043593
2015-08-16,7422088500,UA74100170000043593
2020-08-16,7422082100,UA74100170000043593
2020-08-16,7422083300,UA74100170000043593
2020-08-16,7422084200,UA74100170000043593
2020-08-16,7422084700,UA74100170000043593
2020-08-16,7422085900,UA74100170000043593
2020-08-16,7422086300,UA74100170000043593
2020-08-16,7422086800,UA74100170000043593
2020-08-16,7422088400,UA74100170000043593
2020-08-16,7422088500,UA74100170000043593
2020-08-16,7422089800,UA74100170000043593
2019-10-13,7425581000,UA74100150000090847
2019-10-13,7425583500,UA74100150000090847
2020-08-16,7425581000,UA74100150000090847
2020-08-16,7425583500,UA74100150000090847
2020-08-16,7425585700,UA74100150000090847
2020-08-16,7425586900,UA74100150000090847
2020-08-16,7425588700,UA74100150000090847
2019-04-21,7425583400,UA74100130000039404
2019-04-21,7425586000,UA74100130000039404
2019-04-21,7425589700,UA74100130000039404
2020-08-16,7425583400,UA74100130000039404
2020-08-16,7425586000,UA74100130000039404
2020-08-16,7425589700,UA74100130000039404
2016-10-09,7425581200,UA74100110000030364
2016-10-09,7425582800,UA74100110000030364
2016-10-09,7425584000,UA74100110000030364
2016-10-09,7425584300,UA74100110000030364
2016-10-09,7425588300,UA74100110000030364
2020-08-16,7425580500,UA74100110000030364
2020-08-16,7425581200,UA74100110000030364
2020-08-16,7425582800,UA74100110000030364
2020-08-16,7425584000,UA74100110000030364
2020-08-16,7425584300,UA74100110000030364
2020-08-16,7425586600,UA74100110000030364
2020-08-16,7425588300,UA74100110000030364
2019-10-13,7424455400,UA74100090000064336
2019-10-13,7424482000,UA74100090000064336
2019-10-13,7424483300,UA74100090000064336
2019-10-13,7424486400,UA74100090000064336
2019-10-13,7424486800,UA74100090000064336
2020-08-16,7424455400,UA74100090000064336
2020-08-16,7424482000,UA74100090000064336
2020-08-16,7424483300,UA74100090000064336
2020-08-16,7424486400,UA74100090000064336
2020-08-16,7424486800,UA74100090000064336
2015-08-16,7422055400,UA74100070000057810
2015-08-16,7422083600,UA74100070000057810
2015-08-16,7422083900,UA74100070000057810
2015-08-16,7422085600,UA74100070000057810
2019-04-21,7422055400,UA74100070000057810
2019-04-21,7422083000,UA74100070000057810
2019-04-21,7422083600,UA74100070000057810
2019-04-21,7422083900,UA74100070000057810
2019-04-21,7422085600,UA74100070000057810
2020-08-16,7422055400,UA74100070000057810
2020-08-16,7422083000,UA74100070000057810
2020-08-16,7422083600,UA74100070000057810
2020-08-16,7422083900,UA74100070000057810
2020-08-16,7422085600,UA74100070000057810
2017-10-15,7421410100,UA74100050000019554
2017-10-15,7421481200,UA74100050000019554
2017-10-15,7421483200,UA74100050000019554
2017-10-15,7421484000,UA74100050000019554
2017-10-15,7421485200,UA74100050000019554
2017-10-15,7421485300,UA74100050000019554
2017-10-15,7421486400,UA74100050000019554
2017-10-15,7421486800,UA74100050000019554
2017-10-15,7421487000,UA74100050000019554
2017-10-15,7421487300,UA74100050000019554
2017-10-15,7421487500,UA74100050000019554
2017-10-15,7421487600,UA74100050000019554
2017-10-15,7421488000,UA74100050000019554
2017-10-15,7421489200,UA74100050000019554
2017-10-15,7421489600,UA74100050000019554
2019-10-18,7421410100,UA74100050000019554
2019-10-18,7421481200,UA74100050000019554
2019-10-18,7421482400,UA74100050000019554
2019-10-18,7421483200,UA74100050000019554
2019-10-18,7421484000,UA74100050000019554
2019-10-18,7421485200,UA74100050000019554
2019-10-18,7421485300,UA74100050000019554
2019-10-18,7421486400,UA74100050000019554
2019-10-18,7421486800,UA74100050000019554
2019-10-18,7421487000,UA74100050000019554
2019-10-18,7421487300,UA74100050000019554
2019-10-18,7421487500,UA74100050000019554
2019-10-18,7421487600,UA74100050000019554
2019-10-18,7421488000,UA74100050000019554
2019-10-18,7421489200,UA74100050000019554
2019-10-18,7421489600,UA74100050000019554
2020-08-16,7421410100,UA74100050000019554
2020-08-16,7421480400,UA74100050000019554
2020-08-16,7421481200,UA74100050000019554
2020-08-16,7421481600,UA74100050000019554
2020-08-16,7421482400,UA74100050000019554
2020-08-16,7421483200,UA74100050000019554
2020-08-16,7421483600,UA74100050000019554
2020-08-16,7421484000,UA74100050000019554
2020-08-16,7421484800,UA74100050000019554
2020-08-16,7421485200,UA74100050000019554
2020-08-16,7421485300,UA74100050000019554
2020-08-16,7421485600,UA74100050000019554
2020-08-16,7421486400,UA74100050000019554
2020-08-16,7421486800,UA74100050000019554
2020-08-16,7421487000,UA74100050000019554
2020-08-16,7421487200,UA74100050000019554
2020-08-16,7421487300,UA74100050000019554
2020-08-16,7421487500,UA74100050000019554
2020-08-16,7421487600,UA74100050000019554
2020-08-16,7421488000,UA74100050000019554
2020-08-16,7421488800,UA74100050000019554
2020-08-16,7421489200,UA74100050000019554
2020-08-16,7421489600,UA74100050000019554
2016-10-02,7425555200,UA74100030000076377
2016-10-02,7425582200,UA74100030000076377
2016-10-02,7425588500,UA74100030000076377
2019-04-21,7425555200,UA74100030000076377
2019-04-21,7425582200,UA74100030000076377
2019-04-21,7425588100,UA74100030000076377
2019-04-21,7425588500,UA74100030000076377
2020-08-16,7422085300,UA74100030000076377
2020-08-16,7425555200,UA74100030000076377
2020-08-16,7425580800,UA74100030000076377
2020-08-16,7425582200,UA74100030000076377
2020-08-16,7425588100,UA74100030000076377
2020-08-16,7425588500,UA74100030000076377
2020-08-16,7423055300,UA74100010000063674
2020-08-16,7423080500,UA74100010000063674
2020-08-16,7423085500,UA74100010000063674
2020-08-16,7423086300,UA74100010000063674
2020-08-16,7423086700,UA74100010000063674
2020-08-16,7424180600,UA74080210000098421
2020-08-16,7424182500,UA74080210000098421
2020-08-16,7424184100,UA74080210000098421
2020-08-16,7424184500,UA74080210000098421
2020-08-16,7424188200,UA74080210000098421
2020-08-16,7424189700,UA74080210000098421
2017-08-20,7425355100,UA74080190000091939
2017-08-20,7425381500,UA74080190000091939
2017-08-20,7425382000,UA74080190000091939
2017-08-20,7425382700,UA74080190000091939
2017-08-20,7425384000,UA74080190000091939
2020-08-16,7425355100,UA74080190000091939
2020-08-16,7425380500,UA74080190000091939
2020-08-16,7425381000,UA74080190000091939
2020-08-16,7425381500,UA74080190000091939
2020-08-16,7425382000,UA74080190000091939
2020-08-16,7425382500,UA74080190000091939
2020-08-16,7425382700,UA74080190000091939
2020-08-16,7425382800,UA74080190000091939
2020-08-16,7425383000,UA74080190000091939
2020-08-16,7425383500,UA74080190000091939
2020-08-16,7425384000,UA74080190000091939
2020-08-16,7425384500,UA74080190000091939
2020-08-16,7425385000,UA74080190000091939
2020-08-16,7425385500,UA74080190000091939
2019-10-13,7424180300,UA74080170000055617
2019-10-13,7424182200,UA74080170000055617
2019-10-13,7424183100,UA74080170000055617
2019-10-13,7424183200,UA74080170000055617
2019-10-13,7424183400,UA74080170000055617
2019-10-13,7424184000,UA74080170000055617
2019-10-13,7424184200,UA74080170000055617
2019-10-13,7424184900,UA74080170000055617
2019-10-13,7424185000,UA74080170000055617
2019-10-13,7424185100,UA74080170000055617
2019-10-13,7424185500,UA74080170000055617
2019-10-13,7424186200,UA74080170000055617
2019-10-13,7424186400,UA74080170000055617
2019-10-13,7424187000,UA74080170000055617
2019-10-13,7424187300,UA74080170000055617
2019-10-13,7424187600,UA74080170000055617
2019-10-13,7424187900,UA74080170000055617
2019-10-13,7424188500,UA74080170000055617
2019-10-13,7424188800,UA74080170000055617
2020-08-16,7424180300,UA74080170000055617
2020-08-16,7424181600,UA74080170000055617
2020-08-16,7424182200,UA74080170000055617
2020-08-16,7424183100,UA74080170000055617
2020-08-16,7424183200,UA74080170000055617
2020-08-16,7424183400,UA74080170000055617
2020-08-16,7424184000,UA74080170000055617
2020-08-16,7424184200,UA74080170000055617
2020-08-16,7424184900,UA74080170000055617
2020-08-16,7424185000,UA74080170000055617
2020-08-16,7424185100,UA74080170000055617
2020-08-16,7424185500,UA74080170000055617
2020-08-16,7424186200,UA74080170000055617
2020-08-16,7424186400,UA74080170000055617
2020-08-16,7424187000,UA74080170000055617
2020-08-16,7424187300,UA74080170000055617
2020-08-16,7424187600,UA74080170000055617
2020-08-16,7424187900,UA74080170000055617
2020-08-16,7424188500,UA74080170000055617
2020-08-16,7424188800,UA74080170000055617
2017-08-20,7425155100,UA74080150000033167
2017-08-20,7425155400,UA74080150000033167
2017-08-20,7425181000,UA74080150000033167
2017-08-20,7425182300,UA74080150000033167
