hromada_code,hromada_center_code,hromada_type,hromada,hromada_center,oblast_name,raion_name,lat_center,lon_center,ttime,key,n_settlements,square
UA05120150000069474,UA05120150010073669,сільська,Уланівська,Уланів,Вінницька,Хмільницький,49.6939529,28.1323125,142.2,Вінницька Хмільницький Уланівська сільська,36,611.1
UA05120170000013778,UA05120170010081140,міська,Хмільницька,Хмільник,Вінницька,Хмільницький,49.556175,27.9491205,142.2,Вінницька Хмільницький Хмільницька міська,42,635.8
UA07020010000096841,UA07020010010041660,міська,Володимир-Волинська,Володимир,Волинська,Володимир-Волинський,50.8474669,24.319319,151.6,Волинська Володимир-Волинський Володимир-Волинська міська,9,104.2
UA07020030000052032,UA07020030010025894,сільська,Затурцівська,Затурці,Волинська,Володимир-Волинський,50.7799387,24.8430189,247.9,Волинська Володимир-Волинський Затурцівська сільська,26,366.3
UA07020050000082369,UA07020050010049312,сільська,Зимнівська,Зимне,Волинська,Володимир-Волинський,50.801533,24.337662,152.5,Волинська Володимир-Волинський Зимнівська сільська,30,309.1
UA07020070000082628,UA07020070010088055,селищна,Іваничівська,Іваничі,Волинська,Володимир-Волинський,50.6407709,24.3619629,155.7,Волинська Володимир-Волинський Іваничівська селищна,9,99.2
UA07020090000019505,UA07020090010094309,сільська,Литовезька,Литовеж,Волинська,Володимир-Волинський,50.640789,24.18297,189.8,Волинська Володимир-Волинський Литовезька сільська,6,124
UA07020110000037373,UA07020110010069736,селищна,Локачинська,Локачі,Волинська,Володимир-Волинський,50.738946,24.6482949,119.2,Волинська Володимир-Волинський Локачинська селищна,28,344.4
UA07020130000036300,UA07020130010041880,міська,Нововолинська,Нововолинськ,Волинська,Володимир-Волинський,50.7224829,24.1648399,167.3,Волинська Володимир-Волинський Нововолинська міська,8,75.2
UA07020150000092012,UA07020150010016648,сільська,Оваднівська,Овадне,Волинська,Володимир-Волинський,50.926411,24.38899,322.6,Волинська Володимир-Волинський Оваднівська сільська,21,355.1
UA07020170000049971,UA07020170010027420,сільська,Павлівська,Павлівка,Волинська,Володимир-Волинський,50.6282366,24.4638426,189.5,Волинська Володимир-Волинський Павлівська сільська,20,254.8
UA07020190000043658,UA07020190010066503,сільська,Поромівська,Поромів,Волинська,Володимир-Волинський,50.751942,24.082321,185.1,Волинська Володимир-Волинський Поромівська сільська,18,108.6
UA07020210000033081,UA07020210010031545,міська,Устилузька,Устилуг,Волинська,Володимир-Волинський,50.8622192,24.1505139,174,Волинська Володимир-Волинський Устилузька міська,26,415.6
UA07040010000033507,UA07040010010025318,міська,Камінь-Каширська,Камінь-Каширський,Волинська,Камінь-Каширський,51.6271153,24.961357,107,Волинська Камінь-Каширський Камінь-Каширська міська,55,1421.9
UA07040030000028082,UA07040030010024333,селищна,Любешівська,Любешів,Волинська,Камінь-Каширський,51.7632795,25.5048264,84.5,Волинська Камінь-Каширський Любешівська селищна,41,1239.1
UA07040050000080830,UA07040050010044229,селищна,Маневицька,Маневичі,Волинська,Камінь-Каширський,51.2908106,25.537878,79.7,Волинська Камінь-Каширський Маневицька селищна,36,1097.2
UA07040070000058434,UA07040070010027750,сільська,Прилісненська,Прилісне,Волинська,Камінь-Каширський,51.376015,25.523325,86.6,Волинська Камінь-Каширський Прилісненська сільська,11,526.7
UA07040090000043197,UA07040090010015759,сільська,Сошичненська,Сошичне,Волинська,Камінь-Каширський,51.469231,24.88472,121.9,Волинська Камінь-Каширський Сошичненська сільська,12,394.8
UA07060010000090019,UA07060010010014019,сільська,Велимченська,Велимче,Волинська,Ковельський,51.58012,24.74224,207.9,Волинська Ковельський Велимченська сільська,4,110.9
UA07060030000041840,UA07060030010091243,сільська,Велицька,Велицьк,Волинська,Ковельський,51.120972,25.2028513,73.3,Волинська Ковельський Велицька сільська,12,211.5
UA07060050000091514,UA07060050010010463,сільська,Вишнівська,Вишнів,Волинська,Ковельський,51.197605,24.029932,167.9,Волинська Ковельський Вишнівська сільська,21,498.3
UA07060070000063773,UA07060070010054233,селищна,Голобська,Голоби,Волинська,Ковельський,51.0859784,25.015465,67.8,Волинська Ковельський Голобська селищна,23,300.8
UA07060090000026043,UA07060090010039037,селищна,Головненська,Головне,Волинська,Ковельський,51.336538,24.0785257,144.2,Волинська Ковельський Головненська селищна,14,317.2
UA07060110000041168,UA07060110010042179,сільська,Дубечненська,Дубечне,Волинська,Ковельський,51.5489753,24.374079,215.6,Волинська Ковельський Дубечненська сільська,10,310.7
UA07060130000030797,UA07060130010061860,сільська,Дубівська,Дубове,Волинська,Ковельський,51.265587,24.685938,327.4,Волинська Ковельський Дубівська сільська,10,204.7
UA07060150000038564,UA07060150010012280,селищна,Заболоттівська,Заболоття,Волинська,Ковельський,51.6314645,24.2552388,203,Волинська Ковельський Заболоттівська селищна,4,253.3
