register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
365,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Славнянська сільська рада (с.Славна, вул. Соборна, 27, Липовецький р-н, Вінницька обл., тел. (04358)233-04)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2019-11-01,2,с. Зозів,Липовецький,Вінницька,Вінницька Липовецький с. Зозів,Зозів,0522281401,UA05020110000052014,Липовецька
365,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Славнянська сільська рада (с.Славна, вул. Соборна, 27, Липовецький р-н, Вінницька обл., тел. (04358)233-04)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2019-11-01,3,с. Зозівка,Липовецький,Вінницька,Вінницька Липовецький с. Зозівка,Зозівка,0522281201,UA05020110000052014,Липовецька
365,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Славнянська сільська рада (с.Славна, вул. Соборна, 27, Липовецький р-н, Вінницька обл., тел. (04358)233-04)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2019-11-01,4,с. Вербівка,Липовецький,Вінницька,Вінницька Липовецький с. Вербівка,Вербівка,0522280701,UA05020110000052014,Липовецька
366,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Капітальний ремонт корпусу початкових класів опорного закладу « Теплицька загальноосвітня школа I-III ступенів №2,2019-03-19T00:00:00Z,"Сашанська сільська рада (с. Саша, вул. Першотравнева, 84, Теплицький р-н, Вінницька обл., тел. (04353) 256-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2023-05-09,1,с. Саша,Теплицький,Вінницька,Вінницька Теплицький с. Саша,Саша,0523786301,UA05040230000017028,Теплицька
366,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Капітальний ремонт корпусу початкових класів опорного закладу « Теплицька загальноосвітня школа I-III ступенів №2,2019-03-19T00:00:00Z,"Сашанська сільська рада (с. Саша, вул. Першотравнева, 84, Теплицький р-н, Вінницька обл., тел. (04353) 256-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2023-05-09,3,с. Росоша,Теплицький,Вінницька,Вінницька Теплицький с. Росоша,Росоша,0523786201,UA05040230000017028,Теплицька
366,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Капітальний ремонт корпусу початкових класів опорного закладу « Теплицька загальноосвітня школа I-III ступенів №2,2019-03-19T00:00:00Z,"Сашанська сільська рада (с. Саша, вул. Першотравнева, 84, Теплицький р-н, Вінницька обл., тел. (04353) 256-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2023-05-09,4,с. Веселівка,Теплицький,Вінницька,Вінницька Теплицький с. Веселівка,Веселівка,0523781601,UA05040230000017028,Теплицька
367,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Медвеже-Вушківська сільська рада (с. Медвеже-Вушко, вул. Шкільна, 10, Вінницкий р-н Вінницька обл., тел. (0432) 581-318)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-03-22,2023-05-09,2,с. Бохоники,Вінницький,Вінницька,Вінницька Вінницький с. Бохоники,Бохоники,0520680503,UA05020010000053508,Агрономічна
367,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Медвеже-Вушківська сільська рада (с. Медвеже-Вушко, вул. Шкільна, 10, Вінницкий р-н Вінницька обл., тел. (0432) 581-318)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-03-22,2023-05-09,3,с. Пултівці,Вінницький,Вінницька,Вінницька Вінницький с. Пултівці,Пултівці,0520685501,UA05020310000080026,Якушинецька
367,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-19T00:00:00Z,"Медвеже-Вушківська сільська рада (с. Медвеже-Вушко, вул. Шкільна, 10, Вінницкий р-н Вінницька обл., тел. (0432) 581-318)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-03-22,2023-05-09,4,с. Агрономічне,Вінницький,Вінницька,Вінницька Вінницький с. Агрономічне,Агрономічне,0520680203,UA05020010000053508,Агрономічна
368,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-20T00:00:00Z,"Куманівецька сільська рада (с. Куманівці, вул. Новоселів, 1А, Хмільницький р-н, Вінницька обл., тел. (04338) 365-22)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-03-11,2019-12-31,1,с. Куманівці,Хмільницький,Вінницька,Вінницька Хмільницький с. Куманівці,Куманівці,0524883401,UA05120170000013778,Хмільницька
