oblast_name,hromada_name,edem_petitions,edem_consultations,edem_participatory_budget,edem_open_hromada,hromada_code,edem_total
Житомирська,Брусилівська,0,0,1,0,UA18040050000049937,1
Івано-Франківська,Букачівська,0,1,0,0,UA26040050000080752,1
Івано-Франківська,Бурштинська,1,1,1,1,UA26040070000065724,4
Київська,Бучанська,1,0,0,0,UA32080070000050759,1
Тернопільська,Бучацька,1,0,1,0,UA61060070000098188,2
Дніпропетровська,Вакулівська,1,1,0,0,UA12060030000081794,2
Рівненська,Вараська,1,0,1,1,UA56020030000068439,3
Київська,Васильківська,1,1,1,1,UA32120030000030458,4
Черкаська,Ватутінська,1,0,0,0,UA71020030000059581,1
Закарпатська,Великоберезнянська,0,0,0,1,UA21100030000089881,1
Тернопільська,Великоберезовицька,1,1,1,0,UA61040070000079091,3
Закарпатська,Великобичківська,0,1,0,0,UA21060030000020114,1
Полтавська,Великобудищанська,0,1,0,0,UA53060050000024229,1
Тернопільська,Великогаївська,0,0,1,0,UA61040110000010646,1
Тернопільська,Великодедеркальська,0,0,1,0,UA61020030000060484,1
Донецька,Великоновосілківська,0,0,1,0,UA14040010000017239,1
Сумська,Великописарівська,1,0,0,0,UA59040030000060142,1
Черкаська,Великохутірська,1,1,1,0,UA71040010000032874,3
Дніпропетровська,Верхівцівська,0,1,0,0,UA12040030000066040,1
Дніпропетровська,Верхньодніпровська,0,1,0,0,UA12040050000057182,1
Івано-Франківська,Верховинська,0,1,0,0,UA26020030000088465,1
Запорізька,Веселівська,0,0,0,1,UA23080010000036379,1
Івано-Франківська,Вигодська,0,1,0,0,UA26060070000011203,1
Чернівецька,Вижницька,1,1,1,1,UA73020090000031499,4
Одеська,Визирська,0,0,1,0,UA51100110000098468,1
Херсонська,Виноградівська,1,0,0,0,UA65100050000017921,1
Київська,Вишгородська,1,0,0,0,UA32100010000094393,1
Тернопільська,Вишнівецька,1,1,1,0,UA61020050000098539,3
Вінницька,Війтівецька,1,0,0,0,UA05120030000061384,1
Дніпропетровська,Вільногірська,0,0,1,0,UA12040090000029346,1
Запорізька,Вільнянська,0,0,0,1,UA23060030000037089,1
Вінницька,Вінницька,1,1,1,0,UA05020030000031457,3
Івано-Франківська,Войнилівська,0,1,0,0,UA26060110000025739,1
Донецька,Волноваська,1,0,1,0,UA14040030000025138,2
Волинська,Володимир-Волинська,1,1,0,1,UA07020010000096841,3
Рівненська,Володимирецька,1,0,0,1,UA56020050000087443,2
Хмельницька,Волочиська,0,0,1,0,UA68040090000087566,1
Вінницька,Вороновицька,1,0,0,0,UA05020050000066991,1
Івано-Франківська,Ворохтянська,0,0,1,0,UA26120010000096774,1
Донецька,Вугледарська,0,0,1,0,UA14040050000064688,1
Кіровоградська,Гайворонська,0,0,1,0,UA35020050000014205,1
Вінницька,Гайсинська,1,1,0,0,UA05040030000050131,2
Івано-Франківська,Галицька,0,0,1,0,UA26040090000025932,1
Луганська,Гірська,0,1,1,0,UA44120010000044132,2
Київська,Глевахівська,1,0,1,0,UA32140070000012102,2
Чернівецька,Глибоцька,0,0,0,1,UA73060150000088691,1
Полтавська,Глобинська,1,1,0,0,UA53020010000035494,2
Вінницька,Глуховецька,0,0,1,0,UA05120010000076685,1
Львівська,Гніздичівська,0,0,0,1,UA46100010000066018,1
Полтавська,Горішньоплавнівська,1,0,0,0,UA53020030000081709,1
Івано-Франківська,Городенківська,1,1,1,0,UA26080030000014307,3
Львівська,Городоцька,1,0,1,1,UA46060070000047720,3
Хмельницька,Городоцька,0,0,1,0,UA68040130000024471,1
