budget_code,budget_name,hromada_name,hromada_code,raion_name,raion_code,oblast_name,oblast_name_en,oblast_code,region_en,region_code_en,year,income_total,income_transfert,income_military,income_pdfo,income_unified_tax,income_property_tax,income_excise_duty,income_corporate_tax,income_parking_fee,income_tourist_fee,income_eco_tax,income_non_tax,income_capital_proceedings,income_special_funds,income_rent,income_own,own_income_prop,transfert_prop,military_tax_prop,pdfo_prop,unified_tax_prop,property_tax_prop,excise_duty_prop,corporate_tax_own_prop,parking_fee_own_prop,tourist_fee_own_prop,eco_tax_own_prop,non_tax_own_prop,capital_proceedings_own_prop,special_funds_own_prop,excise_duty_own_prop,pdfo_own_prop,unified_tax_own_prop,property_tax_own_prop,rent_own_prop,own_income_change,own_prop_change,own_income_change_net,total_income_change_net,total_income_change,own_income_no_mil_change_YoY_jan_feb,own_income_no_mil_change_YoY_mar_apr,own_income_no_mil_change_YoY_mar_may,own_income_no_mil_change_YoY_jun_aug,own_income_no_mil_change_YoY_jul_sep,own_income_no_mil_change_YoY_oct_jan,own_income_no_mil_change_YoY_oct_dec,own_income_no_mil_change_YoY_may_feb,own_income_no_mil_change_YoY_adapt,income_own_full_year,own_income_prop_full_year,recovery_month_distance,diversification_income_score,count_recovery,recovery_month_distance_2
0951300000,Бюджет Дзвиняцької сільської територіальної громади,Дзвиняцька,UA26040110000023512,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,65334348.36,49635209.69,0,8286105.07,3409914.11,1060449.67,186570.86,0,0,0,1643.66,351428.88,832501,0,1570525.42,15699138.670000002,0.2403,0.7597,0,0.1268,0.0522,0.0162,0.0029,0,0,0,1e-4,0.0224,0.053,0,0.0119,0.5278,0.2172,0.0675,0.1,NA,NA,NA,NA,NA,46.5208276232715,90.49455778817037,90.32396630094124,92.27388325562409,71.27981175887857,40.264032297405535,44.22582543102773,52.90709024949643,-19.214746029291803,15699138.670000002,0.24028920566400827,0,3337.5730999999996,13,0
0951300000,Бюджет Дзвиняцької сільської територіальної громади,Дзвиняцька,UA26040110000023512,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,74494043,48532599.27,0,15543503.16,3355028.02,1241445.26,105761.36,0,0,0,2980.5099999999998,454141.69,0,0,5258583.7299999995,25961443.729999997,0.3485,0.6515,0,0.2087,0.045,0.0167,0.0014,0,0,0,1e-4,0.0175,0,0,0.0041,0.5987,0.1292,0.0478,0.2026,0.65,0.10819999999999996,10262305.059999995,9159694.64,0.14,46.5208276232715,90.49455778817037,90.32396630094124,92.27388325562409,71.27981175887857,40.264032297405535,44.22582543102773,52.90709024949643,-19.214746029291803,25961443.73,0.3485036210210795,0,3777.4224000000004,13,0
0954700000,Бюджет Дубовецької сільської територіальної громади,Дубовецька,UA26040130000010870,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,81209261.45,33594377.19,0,19364245.3,2564687.55,17734535.12,179060.94,0,0,0,261342.35,6053933.5,0,0,1457079.5,47614884.260000005,0.5863,0.4137,0,0.2384,0.0316,0.2184,0.0022,0,0,0,0.0055,0.1271,0,0,0.0038,0.4067,0.053900000000000003,0.3725,0.0306,NA,NA,NA,NA,NA,6.753731865066648,27.456401009526665,23.895619513871182,252.03032451959086,232.03583975435728,39.361156636524754,44.36542897307234,94.86228010264728,204.5794387448306,47614884.26,0.5863233258107656,1,3232.6545000000006,9,2
0954700000,Бюджет Дубовецької сільської територіальної громади,Дубовецька,UA26040130000010870,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,115911077.36,28483591.46,0,52654180.17,3073442.72,26966159.91,260904.77,0,0,0,254430.64,2861712.61,0,0,1356655.08,87427485.9,0.7543,0.2457,0,0.4543,0.0265,0.2326,0.0023,0,0,0,0.0029,0.0327,0,0,0.003,0.6023,0.0352,0.3084,0.0155,0.84,0.16799999999999993,39812601.64,34701815.91,0.43,6.753731865066648,27.456401009526665,23.895619513871182,252.03032451959086,232.03583975435728,39.361156636524754,44.36542897307234,94.86228010264728,204.5794387448306,87427485.9,0.7542634223687282,1,4602.015899999999,9,2
0952400000,Бюджет Загвіздянської сільської територіальної громади,Загвіздянська,UA26040170000097347,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,44582354.01,27342994.07,0,7845779.83,3999898.75,2552288.82,166123,0,0,0,9566.05,2419467.29,209812,0,36424.2,17239359.939999998,0.3867,0.6133,0,0.176,0.0897,0.0572,0.0037,0,0,0,6e-4,0.1403,0.0122,0,0.0096,0.4551,0.232,0.1481,0.0021,NA,NA,NA,NA,NA,-2.282319915441,-32.518853350156206,-30.64035646442128,10.6242310920315,17.529041395303956,-9.22095493558407,-9.973062586285398,-4.785299282543787,50.04789474546016,17239359.94,0.38668572628832354,4,3027.9907,1,NA
0952400000,Бюджет Загвіздянської сільської територіальної громади,Загвіздянська,UA26040170000097347,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,43655092.55,27659978.24,0,7274222.7299999995,4013392.14,2613292.98,246486.86,0,0,0,5861.25,1816793.98,0,0,25064.37,15995114.309999999,0.3664,0.6336,0,0.1666,0.0919,0.0599,0.0056,0,0,0,4e-4,0.1136,0,0,0.0154,0.4548,0.2509,0.1634,0.0016,-0.07,-0.020299999999999985,-1244245.629999999,-927261.4600000009,-0.02,-2.282319915441,-32.518853350156206,-30.64035646442128,10.6242310920315,17.529041395303956,-9.22095493558407,-9.973062586285398,-4.785299282543787,50.04789474546016,15995114.31,0.36639744358988885,4,3096.3568999999998,1,NA
0955100000,Бюджет Лисецької селищної територіальної громади,Лисецька,UA26040210000094444,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,66452364.49,35017906.37,3325326.17,16143377.83,7032878.83,2363659.9,212540.83000000002,1872,0,0,999.4499999999999,1731497.09,3939869.25,0,7762.939999999999,31434458.120000005,0.473,0.527,0.05,0.2429,0.1058,0.0356,0.0032,1e-4,0,0,0,0.0551,0.1253,0,0.0068,0.5136,0.2237,0.0752,2e-4,NA,NA,NA,NA,NA,21.216472136076845,13.952653535599403,-4.632684654896535,-42.38047152413402,4.079241920159116,14.861115259422197,11.975841623864913,-12.448282906866915,-9.873411615440286,31434458.119999997,0.4730374661797079,1,3382.6403999999993,3,NA
0955100000,Бюджет Лисецької селищної територіальної громади,Лисецька,UA26040210000094444,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,121586034.5,30422205.5,65331181.12,81201646.59,6199948.19,2271134.26,283539.01,5179.28,0,0,1781.49,1161955.21,0,0,38644.97,91163829,0.7498,0.2502,0.5373,0.6679,0.051,0.0187,0.0023,1e-4,0,0,0,0.0127,0,0,0.0031,0.8907,0.068,0.0249,4e-4,1.9,0.27680000000000005,59729370.879999995,55133670.01,0.83,21.216472136076845,13.952653535599403,-4.632684654896535,-42.38047152413402,4.079241920159116,14.861115259422197,11.975841623864913,-12.448282906866915,-9.873411615440286,91163829,0.749788652742022,1,7987.614100000002,3,NA
0955300000,Бюджет Обертинської селищної територіальної громади,Обертинська,UA26040230000035526,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,76087054.77,54538408.91,0,10008162.14,3990439.02,4383283.0200000005,496639.1,15917,7400.78,0,21081.77,2350595.1,51855,0,223272.93,21548645.86,0.2832,0.7168,0,0.1315,0.0524,0.0576,0.0065,7e-4,3e-4,0,0.001,0.1091,0.0024,0,0.023,0.4644,0.1852,0.2034,0.0104,NA,NA,NA,NA,NA,79.88174861735425,-6.061440942387031,0.5989359471963107,8.286202823366672,7.293264002276212,3.900631334593063,0.16929791608193412,4.673407434989363,13.354704944663244,21548645.86,0.28321040846091883,2,3037.7711,5,4
0955300000,Бюджет Обертинської селищної територіальної громади,Обертинська,UA26040230000035526,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,63927403.47,40088650.98,0,13107916.27,3655262.74,5558705.73,338260.91,0,0,0,21546.8,909935.0700000001,25440.12,0,221684.85,23838752.490000002,0.3729,0.6271,0,0.205,0.0572,0.087,0.0053,0,0,0,9e-4,0.0382,0.0011,0,0.0142,0.54990000000000006,0.1533,0.2332,0.0093,0.11,0.0897,2290106.6300000027,-12159651.299999997,-0.16,79.88174861735425,-6.061440942387031,0.5989359471963107,8.286202823366672,7.293264002276212,3.900631334593063,0.16929791608193412,4.673407434989363,13.354704944663244,23838752.490000002,0.3729034998455257,2,3819.360400000001,5,4
