Hromada_category,Region,Raion,Hromada,Hromada_code,Main_council_code,Council_codes_v1,Decision_date_v1,Council_codes_v2,Decision_date_v2,Council_codes_v3,Decision_date_v3,Council_codes_v4,Decision_date_v4,Council_codes_v5,Decision_date_v5,Council_codes_final,voluntary_amalgamation
Збільшилися,Чернігівська область,Ніжинський район,Ніжинська міська громада,UA74040250000063494,7410400000,"7423385900,7410400000",2018-09-10,"7423387700,7423385900,7410400000",2020-08-16,,,,,,,"7423387700,7423385900,7410400000",1
Збільшилися,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада,UA74060030000026607,7410500000,"7423682800,7410500000",2018-06-22,"7423680800,7423681200,7423681600,7423682000,7423682400,7423683200,7423683600,7423684000,7423684700,7423685000,7423685400,7423685800,7423686200,7423686600,7423687000,7423687400,7423687800,7423688100,7423688500,7423688900,7423684300,7423689300,7423689800,7423682800,7410500000",2020-08-16,,,,,,,"7423680800,7423681200,7423681600,7423682000,7423682400,7423683200,7423683600,7423684000,7423684700,7423685000,7423685400,7423685800,7423686200,7423686600,7423687000,7423687400,7423687800,7423688100,7423688500,7423688900,7423684300,7423689300,7423689800,7423682800,7410500000",1
Збільшилися,Чернігівська область,Ніжинський район,Батуринська міська громада,UA74040010000076097,7420310300,"7420310300,7420383000,7420386000",2016-10-02,"7420310300,7420383000,7420386000,7420385000,7420386500,7420387000,7420387200",2020-08-16,,,,,,,"7420310300,7420383000,7420386000,7420385000,7420386500,7420387000,7420387200",1
Збільшилися,Чернігівська область,Ніжинський район,Новобасанська сільська громада,UA74040270000069132,7420684800,"7420680800,7420682000,7420684800,7420685500",2017-08-20,"7420682400,7420680800,7420682000,7420684800,7420685500,7420687400",2020-08-16,,,,,,,"7420682400,7420680800,7420682000,7420684800,7420685500,7420687400",1
Збільшилися,Чернігівська область,Ніжинський район,Борзнянська міська громада,UA74040070000086652,7420810100,"7420810100,7420882800,7420883200,7420884400,7420886400",2019-04-21,"7420810100,7420882800,7420883200,7420884400,7420886400,7420889200,7420889600",2020-08-16,,,,,,,"7420810100,7420882800,7420883200,7420884400,7420886400,7420889200,7420889600",1
Збільшилися,Чернігівська область,Ніжинський район,Комарівська сільська громада,UA74040150000010608,7420882000,"7420880400,7420882000,7420882400,7420886800,7420887400,7420888400",2017-02-19,"7420880400,7420882000,7420882400,7420886800,7420887400,7420888400,7420887600",2020-08-16,,,,,,,"7420880400,7420882000,7420882400,7420886800,7420887400,7420888400,7420887600",1
Збільшилися,Чернігівська область,Прилуцький район,Варвинська селищна громада,UA74080010000063011,7421155100,"7421155100,7421182400,7421182800",2017-10-15,"7421180400,7421180600,7421155100,7421182400,7421182800,7421181200,7421181600,7421182000,7421182900,7421180800,7421182600,7421183000,7421183200,7421183600,7421184000",2020-08-16,,,,,,,"7421180400,7421180600,7421155100,7421182400,7421182800,7421181200,7421181600,7421182000,7421182900,7421180800,7421182600,7421183000,7421183200,7421183600,7421184000",1
Збільшилися,Чернігівська область,Чернігівський район,Городнянська міська громада,UA74100050000019554,7421410100,"7421481200,7421483200,7421410100,7421484000,7421485200,7421485300,7421486400,7421486800,7421487000,7421487300,7421487500,7421487600,7421488000,7421489200,7421489600",2017-10-15,"7421481200,7421483200,7421410100,7421484000,7421485200,7421485300,7421486400,7421486800,7421487000,7421487300,7421487500,7421487600,7421488000,7421489200,7421489600,7421482400",2019-10-18,"7421480400,7421481600,7421481200,7421483200,7421410100,7421484000,7421485200,7421485300,7421486400,7421486800,7421487000,7421487300,7421487500,7421487600,7421488000,7421489200,7421489600,7421482400,7421483600,7421484800,7421485600,7421487200,7421488800",2020-08-16,,,,,"7421480400,7421481600,7421481200,7421483200,7421410100,7421484000,7421485200,7421485300,7421486400,7421486800,7421487000,7421487300,7421487500,7421487600,7421488000,7421489200,7421489600,7421482400,7421483600,7421484800,7421485600,7421487200,7421488800",1
Збільшилися,Чернігівська область,Чернігівський район,Тупичівська сільська громада,UA74100370000041962,7421488400,"7421480800,7421482000,7421488400",2017-08-20,"7421482800,7421484400,7421485400,7421480800,7421482000,7421488400",2020-08-16,,,,,,,"7421482800,7421484400,7421485400,7421480800,7421482000,7421488400",1
Збільшилися,Чернігівська область,Прилуцький район,Ічнянська міська громада,UA74080030000040714,7421710100,"7421780400,7421780800,7421781000,7421781600,7421782000,7421782800,7421783200,7421783600,7421784000,7421784400,7421784800,7421785600,7421710100,7421786000,7421786800,7421787200,7421787600,7421788400,7421788600,7421788800,7421789000",2017-08-20,"7421780400,7421780800,7421781000,7421781600,7421782000,7421782800,7421783200,7421783600,7421784000,7421784400,7421784800,7421785600,7421710100,7421786000,7421786800,7421787200,7421787600,7421788400,7421788600,7421788800,7421789000,7421788000",2020-08-16,,,,,,,"7421780400,7421780800,7421781000,7421781600,7421782000,7421782800,7421783200,7421783600,7421784000,7421784400,7421784800,7421785600,7421710100,7421786000,7421786800,7421787200,7421787600,7421788400,7421788600,7421788800,7421789000,7421788000",1
Збільшилися,Чернігівська область,Прилуцький район,Парафіївська селищна громада,UA74080110000023749,7421755700,"7421755700,7421785200,7421786400,7421782400,7421789200",2015-08-16,"7421781200,7421755700,7421785200,7421786400,7421782400,7421789200,7421788500",2020-08-16,,,,,,,"7421781200,7421755700,7421785200,7421786400,7421782400,7421789200,7421788500",1
Збільшилися,Чернігівська область,Чернігівський район,Остерська міська громада,UA74100310000091595,7422010400,"7422080700,7422081200,7422010400",2016-10-02,"7422082700,7422084500,7422086500,7422080700,7422081200,7422010400,7422087400",2020-08-16,,,,,,,"7422082700,7422084500,7422086500,7422080700,7422081200,7422010400,7422087400",1
Збільшилися,Чернігівська область,Чернігівський район,Козелецька селищна громада,UA74100190000086457,7422055100,"7422080900,7422080600,7422081000,7422081500,7422081800,7422082400,7422055100,7422085000,7422085100,7422086600,7422087100,7422087700,7422088200,7422088900,7422089100",2017-02-19,"7422080900,7422080600,7422081000,7422081500,7422081800,7422082400,7422055100,7422085000,7422085100,7422086600,7422087100,7422087700,7422088200,7422088900,7422089100,7422086200,7422080200,7422088000,7422088700,7422089300",2020-08-16,,,,,,,"7422080900,7422080600,7422081000,7422081500,7422081800,7422082400,7422055100,7422085000,7422085100,7422086600,7422087100,7422087700,7422088200,7422088900,7422089100,7422086200,7422080200,7422088000,7422088700,7422089300",1
Збільшилися,Чернігівська область,Чернігівський район,Кіптівська сільська громада,UA74100170000043593,7422083300,"7422082100,7422083300,7422086300,7422086800,7422088400,7422088500",2015-08-16,"7422082100,7422083300,7422086300,7422086800,7422088400,7422088500,7422084200,7422085900,7422084700,7422089800",2020-08-16,,,,,,,"7422082100,7422083300,7422086300,7422086800,7422088400,7422088500,7422084200,7422085900,7422084700,7422089800",1
Збільшилися,Чернігівська область,Новгород-Сіверський район,Коропська селищна громада,UA74060010000052907,7422255100,"7422280500,7422280700,7422281500,7422282000,7422283300,7422282500,7422283000,7422255100,7422283500,7422284300,7422285000,7422285500,7422286500,7422288200,7422288300,7422289000,7422289500",2016-10-09,"7422280500,7422280700,7422281500,7422282000,7422283300,7422282500,7422283000,7422255100,7422283500,7422284300,7422285000,7422285500,7422286500,7422288200,7422288300,7422289000,7422289500,7422287800,7422288400",2020-08-16,,,,,,,"7422280500,7422280700,7422281500,7422282000,7422283300,7422282500,7422283000,7422255100,7422283500,7422284300,7422285000,7422285500,7422286500,7422288200,7422288300,7422289000,7422289500,7422287800,7422288400",1
Збільшилися,Чернігівська область,Новгород-Сіверський район,Понорницька селищна громада,UA74060050000061355,7422255500,"7422281000,7422255500",2019-10-13,"7422284000,7422284500,7422286000,7422281000,7422255500,7422287000,7422287400,7422288600,7424980500,7424988500",2020-08-16,,,,,,,"7422284000,7422284500,7422286000,7422281000,7422255500,7422287000,7422287400,7422288600,7424980500,7424988500",1
Збільшилися,Чернігівська область,Корюківський район,Корюківська міська громада,UA74020010000010449,7422410100,"7422481500,7422482000,7422483500,7422410100,7422485500,7422487500,7422488700,7422489200,7422489400",2016-10-09,"7422482500,7422481500,7422482000,7422483500,7422410100,7422485500,7422487500,7422488700,7422489200,7422489400,7422480500,7422488300",2019-08-28,"7422481000,7422482500,7422481500,7422482000,7422483500,7422410100,7422485500,7422487500,7422488700,7422489200,7422489400,7422480500,7422488300,7422486000,7422486500,7422487000,7422487900,7422489600",2020-08-16,,,,,"7422481000,7422482500,7422481500,7422482000,7422483500,7422410100,7422485500,7422487500,7422488700,7422489200,7422489400,7422480500,7422488300,7422486000,7422486500,7422487000,7422487900,7422489600",1
Збільшилися,Чернігівська область,Корюківський район,Менська міська громада,UA74020030000069340,7423010100,"7423081500,7423081000,7423081800,7423083500,7423084500,7423085000,7423085900,7423055700,7423010100,7423087200,7423087600,7423088000,7423088200,7423088500,7423089000,7423089500,7423088700",2017-02-19,"7423082000,7423082500,7423083000,7423084000,7423081500,7423081000,7423081800,7423083500,7423084500,7423085000,7423085900,7423055700,7423010100,7423087200,7423087600,7423088000,7423088200,7423088500,7423089000,7423089500,7423088700",2020-08-16,,,,,,,"7423082000,7423082500,7423083000,7423084000,7423081500,7423081000,7423081800,7423083500,7423084500,7423085000,7423085900,7423055700,7423010100,7423087200,7423087600,7423088000,7423088200,7423088500,7423089000,7423089500,7423088700",1
Збільшилися,Чернігівська область,Ніжинський район,Лосинівська селищна громада,UA74040190000070909,7423355400,"7423382400,7423355400,7423388100,7423389200,7423389800,7423389900",2016-10-02,"7423382800,7423383600,7423382400,7423355400,7423388100,7423389200,7423389800,7423389900,7423387400,7423388300",2020-08-16,,,,,,,"7423382800,7423383600,7423382400,7423355400,7423388100,7423389200,7423389800,7423389900,7423387400,7423388300",1
Збільшилися,Чернігівська область,Ніжинський район,Вертіївська сільська громада,UA74040090000047246,7423381900,"7423381900,7423386700",2015-08-16,"7423380600,7423381700,7423381900,7423386700,7423384000,7423384400,7423389500",2018-10-14,"7423380600,7423381700,7423381900,7423386700,7423384000,7423384400,7423389500,7423384800,7423385600,7423386300,7423388500",2020-08-16,,,,,"7423380600,7423381700,7423381900,7423386700,7423384000,7423384400,7423389500,7423384800,7423385600,7423386300,7423388500",1
Збільшилися,Чернігівська область,Ніжинський район,Носівська міська громада,UA74040290000072674,7423810100,"7423881400,7423882000,7423810100,7423886500,7423887000",2016-10-09,"7423881000,7423881400,7423882000,7423810100,7423886500,7423887000",2020-08-16,,,,,,,"7423881000,7423881400,7423882000,7423810100,7423886500,7423887000",1
Збільшилися,Чернігівська область,Ніжинський район,Макіївська сільська громада,UA74040210000018988,7423883000,"7423880500,7423883000",2015-08-16,"7423881500,7423880500,7423883000,7423884500,7423885500,7423886000",2020-08-16,,,,,,,"7423881500,7423880500,7423883000,7423884500,7423885500,7423886000",1
Збільшилися,Чернігівська область,Прилуцький район,Линовицька селищна громада,UA74080070000022285,7424155600,"7424181200,7424182100,7424155600,7424185800",2017-10-15,"7424180900,7424181200,7424182100,7424155600,7424185800,7424189400",2020-08-16,,,,,,,"7424180900,7424181200,7424182100,7424155600,7424185800,7424189400",1
Збільшилися,Чернігівська область,Прилуцький район,Сухополов’янська сільська громада,UA74080170000055617,7424188800,"7424180300,7424182200,7424183100,7424183200,7424183400,7424184000,7424184200,7424184900,7424185100,7424185000,7424185500,7424186200,7424186400,7424187300,7424187000,7424187600,7424187900,7424188500,7424188800",2019-10-13,"7424181600,7424180300,7424182200,7424183100,7424183200,7424183400,7424184000,7424184200,7424184900,7424185100,7424185000,7424185500,7424186200,7424186400,7424187300,7424187000,7424187600,7424187900,7424188500,7424188800",2020-08-16,,,,,,,"7424181600,7424180300,7424182200,7424183100,7424183200,7424183400,7424184000,7424184200,7424184900,7424185100,7424185000,7424185500,7424186200,7424186400,7424187300,7424187000,7424187600,7424187900,7424188500,7424188800",1
