hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA68020050000040518,Дунаєвецька,2016,3600,3600,3302.7522935779816
UA68020050000040518,Дунаєвецька,2017,17484.924,17461.712,14082.025806451613
UA68020050000040518,Дунаєвецька,2018,11232.905999999999,10893.086,7166.50394736842
UA68020050000040518,Дунаєвецька,2019,4000,4000,2484.472049689441
UA68020050000040518,Дунаєвецька,2020,7228.176,7228.176,4328.249101796408
UA68020050000040518,Дунаєвецька,2021,12048.226,12048.226,6115.85076142132
UA68020090000037732,Закупненська,2019,2500,2500,1552.7950310559006
UA68020090000037732,Закупненська,2020,16051,14585.545,8733.859281437126
UA68020110000071202,Кам’янець-Подільська,2015,25098,25096.056,25096.056
UA68020110000071202,Кам’янець-Подільська,2016,17345.728,17345.728,15913.511926605503
UA68020110000071202,Кам’янець-Подільська,2017,13626.2,13069.162,10539.646774193548
UA68020110000071202,Кам’янець-Подільська,2018,2000,2000,1315.7894736842104
UA68020110000071202,Кам’янець-Подільська,2019,14492,14492,9001.242236024844
UA68020110000071202,Кам’янець-Подільська,2020,10980,6061.716,3629.77005988024
UA68020110000071202,Кам’янець-Подільська,2021,48200,48200,24467.005076142133
UA68020170000033495,Новодунаєвецька,2017,4399.508,4399.508,3547.990322580645
UA68020170000033495,Новодунаєвецька,2018,4442.7,3000,1973.6842105263158
UA68020170000033495,Новодунаєвецька,2019,9022.7,7376.3,4581.552795031056
UA68020190000052031,Новоушицька,2015,3811.8,3435.849,3435.849
UA68020190000052031,Новоушицька,2017,6351.5,5409.894,4362.817741935484
UA68020190000052031,Новоушицька,2018,3961.818,3433.509,2258.8875
UA68020190000052031,Новоушицька,2019,5741,5729.002,3558.3863354037267
UA68020190000052031,Новоушицька,2021,4930.716,4930.289,2502.684771573604
UA68020210000024765,Орининська,2015,5409.2,5405.589,5405.589
UA68020250000080044,Смотрицька,2016,1328,1327.983,1218.3330275229357
UA68020290000026103,Чемеровецька,2015,4681.4,4630.867,4630.867
UA68020290000026103,Чемеровецька,2016,2261.756,1435.937,1317.3733944954126
UA68020290000026103,Чемеровецька,2017,5019.2,5019.2,4047.7419354838707
UA68020290000026103,Чемеровецька,2018,13249.861,8874.257000000001,5838.326973684211
UA68020290000026103,Чемеровецька,2019,16000,16000,9937.888198757764
UA68020290000026103,Чемеровецька,2020,20692,19386.662,11608.779640718563
UA68020290000026103,Чемеровецька,2021,7162.639,7162.639,3635.8573604060916
UA68040030000027335,Вiйтовецька,2017,1900,1900,1532.258064516129
UA68040050000052367,Віньковецька,2015,2867.3,2863.372,2863.372
UA68040050000052367,Віньковецька,2016,3376.65,3156.858,2896.2
UA68040050000052367,Віньковецька,2017,3000,3000,2419.3548387096776
UA68040050000052367,Віньковецька,2018,7938.819,2438.819,1604.4861842105263
UA68040050000052367,Віньковецька,2019,4000,3981.012,2472.6782608695653
UA68040050000052367,Віньковецька,2021,22299.699,20736.707,10526.247208121827
UA68040070000035730,Вовковинецька,2016,799.343,735.285,674.5733944954128
UA68040090000087566,Волочиська,2015,3952.8,3952.8,3952.8
UA68040090000087566,Волочиська,2016,4926,4683.998,4297.245871559632
UA68040090000087566,Волочиська,2017,2617.8,2601.52,2098
UA68040090000087566,Волочиська,2018,2042.8,2026.736,1333.378947368421
UA68040090000087566,Волочиська,2019,5350,5350,3322.981366459627
UA68040110000011931,Гвардійська,2015,388.7,388.7,388.7
UA68040130000024471,Городоцька,2015,14738.796,14576.438,14576.438
UA68040130000024471,Городоцька,2016,12924.46,11922.686,10938.244036697246
UA68040130000024471,Городоцька,2017,12270.778,12229.432,9862.445161290323
UA68040130000024471,Городоцька,2018,16620.86,16619.958,10934.182894736841
UA68040130000024471,Городоцька,2019,3000,2999.882,1863.2807453416149
UA68040130000024471,Городоцька,2020,1053,1053,630.5389221556886
UA68040150000077185,Деражнянська,2015,1707.2,1702.48,1702.48
UA68040150000077185,Деражнянська,2016,1370.636,1370.635,1257.4633027522934
UA68040150000077185,Деражнянська,2017,2000,2000,1612.9032258064517
UA68040150000077185,Деражнянська,2018,6186,4186,2753.9473684210525
UA68040150000077185,Деражнянська,2019,6800,6800,4223.60248447205
UA68040150000077185,Деражнянська,2020,4651.2,4651.2,2785.1497005988026
UA68040170000061140,Заслучненська,2019,2500,2500,1552.7950310559006
UA68040170000061140,Заслучненська,2020,4742.759,4733.952,2834.701796407186
UA68040210000089917,Красилівська,2015,32862.4,32461.542,32461.542
UA68040210000089917,Красилівська,2016,10705.706,10677.654,9796.012844036697
UA68040210000089917,Красилівська,2017,8000,8000,6451.612903225807
UA68040210000089917,Красилівська,2018,10000,7949.872,5230.178947368421
UA68040210000089917,Красилівська,2019,24000,23986.01,14898.142857142855
UA68040210000089917,Красилівська,2020,22038.7,22038.7,13196.82634730539
UA68040230000081901,Летичівська,2015,3306.3,3069.782,3069.782
UA68040230000081901,Летичівська,2017,3800,3782.7380000000003,3050.5951612903227
UA68040230000081901,Летичівська,2018,6877.3,4917.998,3235.5249999999996
UA68040230000081901,Летичівська,2019,4709.3,4709.3,2925.031055900621
UA68040250000053378,Лісовогринівецька,2016,630,628.449,576.5587155963302
