"hromada_code","hromada_name","raion_code","raion_name","oblast_code","oblast_name","type","hromada_full_name","oblast_center","hromada_center_code","hromada_center","lat_center","lon_center","travel_time","n_settlements","square","distance_to_russia_belarus","distance_to_russia","distance_to_eu","mountain_hromada","near_seas","bordering_hromadas","hromadas_30km_from_border","hromadas_30km_russia_belarus","buffer_nat_15km","buffer_int_15km","occipied_before_2022","total_popultaion_2022","urban_popultaion_2022.x","urban_pct","budget_code","budget_name","oblast_name_en","region_en","region_code_en","income_total_2021","income_transfert_2021","income_military_2021","income_pdfo_2021","income_unified_tax_2021","income_property_tax_2021","income_excise_duty_2021","income_own_2021","own_income_prop_2021","transfert_prop_2021","military_tax_prop_2021","pdfo_prop_2021","unified_tax_prop_2021","property_tax_prop_2021","excise_duty_prop_2021","own_income_change","own_prop_change","total_income_change","income_own_2022","income_total_2022","income_transfert_2022","own_income_no_mil_change_YoY_jan_feb","own_income_no_mil_change_YoY_jun_aug","own_income_no_mil_change_YoY_mar_may","own_income_no_mil_change_YoY_adapt","dfrr_executed","turnout_2020","sex_head","age_head","education_head","incumbent","rda","not_from_here","party","enterpreuner","unemployed","priv_work","polit_work","communal_work","ngo_work","party_national_winner","no_party","male","high_educ","sum_osbb_2020","edem_total","edem_petitions","edem_consultations","edem_participatory_budget","edem_open_hromada","youth_councils","youth_centers","business_support_centers","creation_date","creation_year","time_before_24th","voluntary","war_zone_27_04_2022","war_zone_20_06_2022","war_zone_23_08_2022","war_zone_10_10_2022","passangers_2021","total_declarations","female_declarations","male_declarations","female_pct_declarations","male_pct_declarations","urban_declarations","rural_declarations","urban_pct_declarations","rural_pct_declarations","youth_declarations","youth_pct_declarations","working_age_total_declarations","working_age_pct_declarations","urban_popultaion_2022.y","declarations_pct","urban_declarations_pct","train_station"
"UA48020130000080862","Казанківська","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","селищна","Казанківська селищна громада",0,"UA48020130010047500","Казанка",47.835215,32.8241797,130.9,54,1000.3,188.674904321387,188.674904321387,367.323801710497,NA,NA,NA,NA,NA,1,NA,0,14488,6523,0.450234676974048,1.4525e+10,"Бюджет Казанківської селищної територіальної громади","Mykolayiv","South","S",62886.21868,29046.60149,1603.27032,17050.33212,2988.74846,9184.2428,2005.35744,33839.61719,2.67,2.33,0.13,1.35,0.24,0.69,0.16,0.56,0.25,0.22,27674.61181,54413.11746,26738.50565,12.5633670431021,-25.6252593849379,-22.7719980107201,-2.85326137421782,12935.349,0.401051507434486,"male",39,"higher",1,0,0,"Слуга народу",0,0,0,1,0,0,1,0,1,1,12,0,0,0,0,0,0,0,0,"2017-10-15",2017,1592.91666666667,1,0,0,0,0,5218,14793,7785,7008,0.53,0.47,13033,1760,0.88,0.12,4764,0.32,11130,0.75,6523,1.02105190502485,1.99800705196995,1
"UA48020150000051082","Новобузька","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","міська","Новобузька міська громада",0,"UA48020150010063715","Новий Буг",47.6933814,32.5106596,98.4,12,452.1,183.413625747596,183.413625747596,339.828508469408,NA,NA,NA,NA,NA,1,NA,0,18078,14782,0.817678946786149,1.4531e+10,"Бюджет Новобузької міської територіальної громади","Mykolayiv","South","S",63383.87217,33153.10595,911.00994,16323.84073,3529.61924,4795.74121,2906.92773,30230.76622,2.44,2.56,0.07,1.31,0.29,0.38,0.23,0.52,0.23,0.18,31321.70399,60332.77587,29011.07188,16.975332341841,-8.36944914825982,-18.9454307560456,10.5759816077858,NA,0.333720339597997,"male",42,"higher",1,0,0,"Слуга народу",0,0,1,0,0,0,1,0,1,1,12,1,0,1,0,0,0,0,0,"2019-04-21",2019,1039.91666666667,1,0,1,1,1,12415,26187,13732,12455,0.52,0.48,26187,0,1,0,8841,0.34,19335,0.74,14782,1.44855625622303,1.77154647544311,1
"UA48020170000082529","Привільненська","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","сільська","Привільненська сільська громада",0,"UA48020170010089549","Привільне",47.4937814,32.2971718,84.2,19,465.2,172.937734952711,172.937734952711,312.641442427975,NA,NA,NA,NA,NA,1,NA,0,5568,0,0,1.4554e+10,"Бюджет Привільненської сільської територіальної громади","Mykolayiv","South","S",22142.8806,13418.465,0,3112.71881,1011.60822,4457.92972,8.538,8724.4156,1.87,3.13,0,0.71,0.24,0.89,0,0.4,0.18,-0.02,5070.98304,16919.88304,11848.9,26.6652646655375,-65.0589063404994,-20.6436362469245,-44.4152700935748,NA,0.403836048344719,"male",56,"higher",1,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,"2020-08-16",2020,556.916666666667,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"UA48020190000083597","Снігурівська","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","міська","Снігурівська міська громада",0,"UA48020190010089719","Снігурівка",47.070721,32.7924643,84.8,23,634.4,112.969609820686,112.969609820686,304.282204563982,NA,NA,NA,NA,NA,NA,NA,0,22729,12045,0.529939724580932,1.4532e+10,"Бюджет Снігурівської міської територіальної громади","Mykolayiv","South","S",87870.40666,41847.47528,881.4118,28688.91548,4638.1664,7120.15834,2427.48247,46022.93138,2.67,2.33,0.05,1.64,0.29,0.41,0.15,-0.25,0.04,-0.36,20380.02535,57840.7571,37460.73175,17.7292146611806,-65.1395412212345,-55.2495869186232,-9.88995430261131,34188.689,0.316434235712333,"female",57,"higher",0,0,0,"Наш край",0,0,0,1,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,"2019-04-21",2019,1039.91666666667,1,1,1,1,1,NA,19402,10799,8603,0.56,0.44,19402,0,1,0,6764,0.35,13672,0.7,12045,0.853623124642527,1.61079286010793,0
"UA48020210000024814","Софіївська","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","сільська","Софіївська сільська громада",0,"UA48020210010075631","Софіївка",47.6870044,32.3720991,111.6,24,426.5,187.839967611195,187.839967611195,331.687564504866,NA,NA,NA,NA,NA,1,NA,0,5541,0,0,1.454e+10,"Бюджет Софіївської сільської територіальної громади","Mykolayiv","South","S",23192.62145,13759.83164,0,5031.46722,1091.3749,2115.20838,68.02488,9432.78981,2.05,2.95,0,1.1,0.25,0.46,0,0.58,0.25,0.11,7734.03808,19554.63897,11820.60089,105.15012359909,-34.8227607070867,-13.0471596912506,-21.775601015836,NA,0.449368596616631,"male",45,"higher",1,0,0,"Самовисування",0,0,0,0,1,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,"2019-04-21",2019,1039.91666666667,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"UA48020230000095751","Широківська","UA48020000000033544","Баштанський","UA48000000000039575","Миколаївська","сільська","Широківська сільська громада",0,"UA48020230010060096","Широке",47.09781,32.677599,76,7,216,120.467496690736,120.467496690736,300.08718266105,NA,NA,NA,NA,NA,NA,NA,0,3363,0,0,1.4526e+10,"Бюджет Широківської сільської територіальної громади","Mykolayiv","South","S",14898.42685,7182.43644,0,5305.7115,637.57601,1672.24302,25.577,7715.99041,2.64,2.36,0,1.8,0.23,0.58,0,3.34,0.24,-0.05,2281.70144,8467.00144,6185.3,14.6477149196705,-68.1554342608627,-71.1362726420321,2.98083838116941,NA,0.436196830692244,"male",46,"higher",1,0,0,"Слуга народу",0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"2017-10-15",2017,1592.91666666667,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"UA48040010000016403","Братська","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","селищна","Братська селищна громада",0,"UA48040010010092806","Братське",47.8641873,31.5747875,142.9,34,706.5,238.88790464893,238.88790464893,279.600408846352,NA,NA,NA,NA,NA,NA,NA,0,11761,4953,0.421137658362384,1.4543e+10,"Бюджет Братської селищної територіальної громади","Mykolayiv","South","S",46334.86246,24907.63637,648.82064,10761.58375,3707.5815,4823.0112,862.76535,21427.22609,2.36,2.64,0.08,1.18,0.41,0.51,0.1,0.55,0.26,0.11,22031.84289,45381.55389,23349.711,21.228774781622,-16.7198861357699,-15.8192209113922,-0.900665224377748,NA,0.374113093958289,"female",45,"higher",0,0,1,"Самовисування",0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,"2020-08-16",2020,556.916666666667,0,0,0,0,0,NA,12741,6782,5959,0.53,0.47,10488,2253,0.82,0.18,4402,0.35,9100,0.71,4953,1.08332624776805,2.11750454270139,0
"UA48040030000013036","Бузька","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","сільська","Бузька сільська громада",0,"UA48040030010064061","Бузьке",47.6150388,31.2029082,121.3,9,306.4,232.07755466833,232.07755466833,244.731389758198,NA,NA,NA,NA,NA,1,NA,0,5218,0,0,1.4511e+10,"Бюджет Бузької сільської територіальної громади","Mykolayiv","South","S",27345.13245,10714.779,1110.16266,6730.19811,1230.14845,5683.51567,1113.715,16630.35345,3.1,1.9,0.2,1.24,0.25,1.04,0.21,0.08,0.05,-0.16,19560.73999,29420.11539,9859.3754,80.7228417671305,-53.2049826647041,-40.0698946876556,-13.1350879770485,NA,0.40215861098076,"male",32,"higher",1,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,"2016-10-09",2016,1963.91666666667,1,0,1,1,1,NA,4941,2622,2319,0.53,0.47,0,4941,0,1,1774,0.36,3422,0.69,0,0.946914526638559,NA,0
"UA48040050000011284","Веселинівська","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","селищна","Веселинівська селищна громада",0,"UA48040050010032687","Веселинове",47.356307,31.2367979,84.9,44,975.9,206.642310503072,206.642310503072,239.586028297152,NA,NA,NA,NA,NA,1,NA,0,17414,7555,0.433846330538647,1.4504e+10,"Бюджет Веселинівської селищної територіальної громади","Mykolayiv","South","S",66257.35797,39408.7505,425.76536,13315.93559,4567.16494,6489.68784,969.45744,26848.60747,2.12,2.88,0.04,1.04,0.36,0.52,0.08,0.3,0.19,-0.05,24791.47532,60066.26984,35274.79452,-15.941118677119,-28.9424679543301,-15.9699392459657,-12.9725287083643,NA,0.332575165256948,"male",60,"higher",1,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,"2016-10-09",2016,1963.91666666667,1,0,0,0,0,3179,15496,8332,7164,0.54,0.46,15496,0,1,0,5520,0.36,10915,0.7,7555,0.889858734351671,2.05109199205824,1
"UA48040070000056126","Вознесенська","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","міська","Вознесенська міська громада",0,"UA48040070010053688","Вознесенськ",47.5679582,31.3338636,102.5,3,95.8,222.54755994331,222.54755994331,252.89767771361,NA,NA,NA,NA,NA,1,NA,0,34789,33442,0.961280864641122,1.4529e+10,"Бюджет Вознесенської міської територіальної громади","Mykolayiv","South","S",142387.52697,59392.09321,4537.15633,47810.34056,9627.92052,10789.05512,8182.94113,82995.43376,3.01,1.99,0.16,1.71,0.37,0.41,0.29,2.13,0.28,0.91,119059.75196,169227.78995,50168.03799,26.1606737020727,-19.9797203445005,-29.9773777746535,9.99765743015299,31305.18,0.276383149324616,"male",34,"higher",0,0,0,"Слуга народу",0,0,1,0,0,0,1,0,1,1,146,0,0,0,0,0,0,1,1,"2018-06-08",2018,1356.91666666667,1,0,1,1,1,33670,36597,20342,16255,0.56,0.44,36597,0,1,0,11968,0.33,26355,0.72,33442,1.05197045042973,1.09434244363375,1
"UA48040090000070960","Доманівська","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","селищна","Доманівська селищна громада",0,"UA48040090010033302","Доманівка",47.6322253,30.9892003,146.2,31,729.7,242.446366163443,242.446366163443,229.91600274645,NA,NA,NA,NA,NA,1,1,0,14398,5728,0.397833032365606,1.4506e+10,"Бюджет Доманівської селищної територіальної громади","Mykolayiv","South","S",52179.69383,31473.58084,538.9422,12166.68864,3185.53635,3454.02414,628.89595,20706.11299,2.04,2.96,0.05,1.18,0.32,0.35,0.06,0.34,0.2,1.04083408558608e-17,20943.32084,50570.72858,29627.40774,20.4396405225998,-18.0322386787974,-11.1887617412013,-6.84347693759606,NA,0.388472310055109,"male",58,"higher",0,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,"2016-10-09",2016,1963.91666666667,1,0,0,0,0,NA,13453,7289,6164,0.54,0.46,11638,1815,0.87,0.13,4388,0.33,9601,0.71,5728,0.934365884150576,2.03177374301676,0
"UA48040110000015580","Дорошівська","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","сільська","Дорошівська сільська громада",0,"UA48040110010042912","Дорошівка",47.4729796,31.4672792,77.9,8,357.6,208.418589264323,208.418589264323,260.082221414081,NA,NA,NA,NA,NA,1,NA,0,5349,0,0,1.452e+10,"Бюджет Дорошівської сільської територіальної громади","Mykolayiv","South","S",18704.07045,11504.79092,0,3124.78907,1294.14644,2332.92299,299.10657,7199.27953,1.91,3.09,0,0.85,0.35,0.58,0.1,1.24,0.23,0.06,4675.27202,15181.21237,10505.94035,15.4312381386636,-46.7553368837176,-26.5582221200702,-20.1971147636474,5836.085,0.402753872633391,"male",33,"higher",0,0,0,"ОПЗЖ",0,0,0,0,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,"2017-02-19",2017,1830.91666666667,1,0,1,1,1,NA,3511,1854,1657,0.53,0.47,0,3511,0,1,1186,0.34,2534,0.72,0,0.656384370910451,NA,0
"UA48040130000074078","Єланецька","UA48040000000011780","Вознесенський","UA48000000000039575","Миколаївська","селищна","Єланецька селищна громада",0,"UA48040130010093076","Єланець",47.696378,31.8489152,102.9,34,1018.1,211.393374778732,211.393374778732,293.809489501346,NA,NA,NA,NA,NA,1,NA,0,14379,4636,0.322414632450101,1.4545e+10,"Бюджет Єланецької селищної територіальної громади","Mykolayiv","South","S",63948.34049,31279.33408,338.52827,17355.01619,5103.13888,8106.64249,1310.93846,32669.00641,2.52,2.48,0.03,1.36,0.38,0.57,0.11,0.79,0.32,0.22,22273.89882,48679.69835,26405.79953,-1.1626190218439,-39.6442201810337,-36.5896269619813,-3.05459321905238,3284.328,0.382783882783883,"female",63,"higher",1,0,0,"Самовисування",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"2020-08-16",2020,556.916666666667,0,0,1,1,1,NA,9475,5084,4391,0.54,0.46,8655,820,0.91,0.09,3017,0.32,6747,0.71,4636,0.658947075596356,1.86691113028473,0
